,Requirement ID,Functional Capability - Level 1,Functional Capability - Level 2,Approval Workflow Process Step,Requirement Description,Priority,Requirement Reference,ABC Function Map,Module,Response Type,Comments,Vendor Score,DMS Interaction
,131,Assessment,Screening,13. Prepare Screening Memo,"Ability to download the Screening Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Screening Memo",Must Have,Industry Standard,Business,,,,,N
,132,Assessment,Screening,13. Prepare Screening Memo,"Ability to allow the users of the approval chain to view the document and simultaneously allow the originator of the document (Screening Memo) to incorporate some changes (if the Screening Memo is in ""draft""/""keep in view"" state) ",Must Have,Workshop,Business,,,,,N
,133,Assessment,Screening,13. Prepare Screening Memo,Ability to send the Screening Memo in MS PowerPoint and Word file formats to the users through email for offline review before submitting it for the New Business Working Group's review,Must Have,Workshop,Business,,,,,N
,134,Assessment,Screening,13. Prepare Screening Memo,"Ability to include an activity log for the Screening Memo showing information related to date, created by, updated by, approved / rejected by, comments provided by, duration of each approval, etc.",Must Have,Workshop,Business,,,,,N
,135,Assessment,Screening,13. Prepare Screening Memo,Ability to link all Screening Memo related documents into a logical file group,Must Have,Workshop,Business,,,,,Y
,136,Assessment,Screening,13. Prepare Screening Memo,"Ability to search any Screening Memo based on different parameter values e.g. workflow Id, document name, etc. ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,137,Assessment,Screening,13. Prepare Screening Memo,Ability to review the Screening Memo in draft state ,Must Have,Workshop,Business,,,,,N
,138,Assessment,Screening,13. Prepare Screening Memo,Ability to upload pricing details through a pre-defined excel file,Must Have,Workshop,Business,,,,,N
,139,Assessment,Screening,13. Prepare Screening Memo,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Business,,,,,N
,140,Assessment,Screening,13. Prepare Screening Memo,Ability to add/update/delete any attribute and formula to the Screening Memo template,Must Have,Industry Standard,Business,,,,,N
,141,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to submit Screening Memo through a pre-defined workflow for New Business Working Group's review,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Business,,,,,N
,142,Assessment,Screening,14. Submit for NBWG Review and Approval,"Ability to send email notifications to the reviewer group once the Screening Memo is submitted for approval. The system should generate notifications for any state change (approve, reject, etc.) in the Screening Memo approval cycle. The notification should be sent to all the users from the current user and down the approval chain",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,143,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to review the Screening Memo by the users of the New Business Working Group and provide approval. Electronic signature should be provided by each user in the respective placeholder for the signature. The system should provide a page for the user to capture the MoM from the review meeting (based on a pre-defined template) and should be able to upload the MoM in the Document Management System,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,"Business, Investment, Risk",,,,,Y
,144,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to provide a workflow process visualization/dashboard to show the current approval state and associated details (for multiple reviewers - completed review/pending review),Must Have,Workshop,"Business, Investment, Risk",,,,,N
,145,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to provide voting option during the approval cycle in case a consensus is required between the reviewers as per the defined criteria (Delegation of Authority). The system should be able to capture the voting results and should be able to document that as per predefined template for approval decision.,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,146,Assessment,Screening,14. Submit for NBWG Review and Approval,"Ability to configure the workflow users and groups (including submitters, reviewers and approvers) and workflow process steps as per requirement. The system should support the change of approval cycle automatically based on the approval level as per defined criteria (Delegation of Authority). The system should allow addition of approval stages beyond the approval level defined in the Delegation of Authority. The system should addition of independent advisors in the users/groups and maintain a repository of those names.",Must Have,Workshop,Business,,,,,N
,147,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to assign a particulate workflow/task to a different user. Ability to define roles and permissions for the staff involved in the approval process,Must Have,Workshop,Business,,,,,N
,148,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to generate a PDF file for approver comments capturing all comments and rationale provided by the approvers during the approval process of a document,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,149,Assessment,Screening,14. Submit for NBWG Review and Approval,"Ability to add approvers comments categorized as ""Actionable"" or ""Information"" etc. In the case of Actionable, the approver has to set a deadline for the ""Actionable"" comment. Upon approval, the system should generate a separate workflow for the ""Actionable"" comments and send an email notification to the Deal Team to reply to these comments before the deadline stipulated by the Approver.",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,150,Assessment,Screening,14. Submit for NBWG Review and Approval,Ability to generate a counterparty wise report showing all approver comments yet to be responded. The system should also generate a report entailing all approved covenants (Financial & Non-Financial).,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,151,Assessment,Screening,14. Submit for NBWG Review and Approval,"Ability to maintain a detailed history of all actions and changes in the system (users, groups, workflow steps, etc.) for compliance and audit trail",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,152,Assessment,Screening,15. Prepare Handover Checklist and Confirm Documents Availability,"Ability to create the Handover Checklist with the list of documents/deliverables, status, comments, stage, and document link. The system should provide a page for the user based on a pre-defined Handover Checklist template to record and track the receipt of documents which should be handed over from Business to Investments",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,153,Assessment,Screening,15. Prepare Handover Checklist and Confirm Documents Availability,Ability to pre-populate some opportunity attributes based on the information associated with the transaction,Must Have,Workshop,Business,,,,,N
,154,Assessment,Screening,15. Prepare Handover Checklist and Confirm Documents Availability,"Ability to validate/confirm automatically if all the required documents are available as per the checklist and documents are uploaded in the Document Management System. Upon completion of checklist, full suite of correspondence and transaction documents (links to the Document Management System) should be available to the Investment team.",Must Have,Workshop,Business,,,,,Y
,155,Assessment,Screening,15. Prepare Handover Checklist and Confirm Documents Availability,Ability to send automatic email notifications to the Investment team once the handover checklist is confirmed and submitted by the Business team,Must Have,Workshop,Business,,,,,N
,156,Assessment,Screening,15. Prepare Handover Checklist and Confirm Documents Availability,Ability to add/update/delete any Document / Deliverable name to the handover checklist,Must Have,Industry Standard,Business,,,,,N
,157,Assessment,Screening,15. Prepare Handover Checklist and Confirm Documents Availability,Ability to add/update/delete any attribute and formula to the handover checklist template,Must Have,Industry Standard,Business,,,,,N
,,Assessment,Transaction Assessment (GLM),,,,,,,,,,
,158,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"Ability to create multi-page Green Light Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Green Light Memo template.",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,159,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a cover page with pre-defined layouts, images, text areas,  etc.",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,160,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a transaction overview page with different shapes, tables, maps, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,161,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a mandate alignment considerations page with pre-defined layouts, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,162,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a transaction brief and timeline page with pre-defined layouts, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,163,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a major project parties page with pre-defined layouts, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,164,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a transaction/project contractual structure page with pre-defined layouts, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,165,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a project agreements page with pre-defined layouts, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,166,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a risk assessment page with pre-defined layouts, tables, images, text areas, etc. for the risk team to update ",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,167,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create an optional page (means and purpose test) with pre-defined layouts, tables, images, questionnaires, text areas, etc. ",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,168,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a project financials and sensitivity analysis page with pre-defined layouts, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,169,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a summary financials page with pre-defined layouts, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,170,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a preliminary terms and conditions page with pre-defined layouts, tables, images, text areas, etc. ",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,171,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create a Sign-offs page with pre-defined layouts, tables, images, text areas, etc. The page will include the names, roles, and signature placeholders. ",Must Have,ABC_SP_WS4_Green Light Memo_05.10.23 ABC.pptx,Investment,,,,,N
,172,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to download the Green Light Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Green Light Memo",Must Have,Workshop,Investment,,,,,N
,173,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,Industry Standard,Investment,,,,,N
,174,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to link any document in the Document Management System from any page and directly access the document. Ability to add any additional document to the list (through drop-down) and upload the document in DMS. Ability to upload full Green Light Memo in Document Management System before/after approval.,Must Have,Industry Standard,Investment,,,,,Y
,175,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"Ability to allow the users of the approval chain to view the document and simultaneously allow the originator of the document (Green Light Memo) to incorporate some changes (if the Green Light Memo is in ""draft""/""keep in view"" state) ",Must Have,Workshop,Investment,,,,,N
,176,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to send the Green Light Memo in MS PowerPoint and Word file formats to the users through email for offline review before submitting it for the Credit and Investment Management Committee approval ,Must Have,Workshop,Investment,,,,,N
,177,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"Ability to include an activity log for the Green Light Memo showing information related to date, created by, updated by, approved / rejected by, comments provided by, duration of each approval, etc.",Must Have,Workshop,Investment,,,,,N
,178,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to link all Green Light Memo related documents into a logical file group,Must Have,Workshop,Investment,,,,,Y
,179,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"Ability to search any Green Light Memo based on different parameter values e.g. workflow Id, document name, etc. ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,180,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to send notifications to the Risk team for risk opinion on the Green Light Memo,Must Have,Workshop,Investment,,,,,N
,181,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to review the Green Light Memo in draft state ,Must Have,Workshop,Risk,,,,,N
,182,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to upload financial statement data through a pre-defined excel file,Must Have,Workshop,Risk,,,,,N
,183,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to upload pricing details through a pre-defined excel file,Must Have,Workshop,Risk,,,,,N
,184,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to provide CRO/delegated risk team's opinion/endorsement/review comments on the specific section/page of the Green Light Memo and generate a PDF file for Risk Opinion. The PDF file should be an integral part of each workflow and should be uploaded / stored in a separate folder in the Document Management System.,Must Have,Workshop,Risk,,,,,Y
,185,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to send notifications to the Investment team once risk opinion/review comments are added to the Green Light Memo,Must Have,Workshop,Risk,,,,,N
,186,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Investment,,,,,N
,187,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,Ability to add/update/delete any attribute/view to the Green Light Memo template,Must Have,Industry Standard,Investment,,,,,N
,188,Assessment ,Transaction Assessment (GLM),16. Prepare Green Light Memo,"Ability to create/update the market intelligence tracker with attributes e.g. ""Source"", ""Date"", ""Link to Market Sounding Report"" (link of the document stored in Document Management System), ""Sector"", ""Investor and lender appetite/ticket size"", ""High-level pricing, structure, and terms"", ""Key risks and due diligence issues"", ""Project timeline"", etc. The system should provide a page for the user to aggregate market soundings and other market intelligence (research reports, expert opinions etc.) reports for a given Project being assessed based on the due diligence information",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,189,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,"Ability to update Due Diligence Questionnaires for the transaction with the list of required documents/deliverables and contents for each document/deliverable including attributes e.g. Source Document, Responsible, Document / Deliverable Name, Content, Status, Comments, Risk Type, Sub-Risk Type, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,190,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,"Ability to populate Document / Deliverable Name, Content (mapped with Document / Deliverable), Risk Type and Sub-Risk Type (mapped with each Content) based on the guideline ",Must Have,Workshop,Investment,,,,,N
,191,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,Ability to update the status of the document automatically based on the documents uploaded for the transaction ,Must Have,Workshop,Investment,,,,,N
,192,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,Ability to validate if the list of documents is appropriately updated in due diligence questionnaires based on pre-defined guideline/metadata and prompt the user with the missing document name/s so the list can be updated,Must Have,Workshop,Investment,,,,,N
,193,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,Ability to add/update/delete any attribute and formula to the due diligence questionnaires,Must Have,Industry Standard,Investment,,,,,N
,194,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,"Ability to update Q&A and Issues List Tracker for the transaction with attributes e.g. Topic, Question / Issue, Answer, Comment, Date question raised, Date, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,195,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,"Ability to add/update different topic categories for the Q&A and Issues e.g. Borrower information and analysis, Legal due diligence, etc.",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Investment,,,,,N
,196,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,Ability to add/update/delete any attribute and formula to the Q&A and Issues List Tracker,Must Have,Industry Standard,Investment,,,,,N
,197,Assessment ,Transaction Assessment (GLM),17. Update Due Diligence Tracker ,Ability to track the Q&A and Issues based on the status of the individual Q&A and Issue,Must Have,Industry Standard,Investment,,,,,N
,198,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)","Ability to create multiple documents (product selection documents) based on the document templates list through the page views. The system should provide a page for the user (or users) to create different documents (pre-defined template) with different layouts, tables, text, etc. that will act as a suite of binding/non-binding agreements between ABC and the prospective counterparty outlining the terms and conditions of the potential investment",Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Investment,,,,,N
,199,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",- Ability to create Letters of Intent document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and provide an electronic signature,Must Have,LOI.docx,Investment,,,,,N
,200,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",- Ability to create Commitment Letter document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and provide an electronic signature,Must Have,ABC_SP_WS4_prebid Commitment Letter_DRAFT.docx,Investment,,,,,N
,201,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)","- Ability to create Simplified Term Sheet document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and should be able to add/remove any term (row in a table format or point) based on requirement. The row number/point number should be updated automatically,",Must Have,ABC_SP_WS4_Project Financing Term Sheet_Short version_DRAFT .docx,Investment,,,,,N
,202,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)","- Ability to create Indicative Term Sheet document based on the pre-defined document template.  The user (or users) should be able to update the editable text areas and should be able to add/remove any term (row in a table format or point) based on requirement. The row number/point number should be updated automatically,",Must Have,ABC_SP_WS4_Project Financing Term Sheet_Extended version_DRAFT.docx,Investment,,,,,N
,203,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",- Ability to create Cover Letters & Disclaimers document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and provide an electronic signature,Must Have,ABC_SP_WS4_Cover Letter_DRAFT .docx,Investment,,,,,N
,204,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)","- Ability to create Transaction Closing Memo document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and provide an electronic signature. Additionally, the system should provide the ability to submit the document for sign-off through a workflow and multiple roles should be able to provide sign-off along with electronic signatures.",Must Have,ABC_SP_WS4_Closing Memo_DRAFT.docx,Investment,,,,,N
,205,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",- Ability to create Investment Head of Terms document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and provide an electronic signature,Must Have,ABC_SP_WS4_Investment HoT_DRAFT.docx,Investment,,,,,N
,206,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",- Ability to create Equity Bridge Loan (EBL) Termsheet document based on the pre-defined document template. The user (or users) should be able to update the editable text areas and provide an electronic signature,Must Have,ABC_SP_WS4_EBL Term Sheet_DRAFT.docx,Investment,,,,,N
,207,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",Ability to update the document templates and add/remove document templates ,Must Have,Industry Standard,Investment,,,,,N
,208,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",Ability to ensure the document formatting remains unchanged after updating the individual document,Must Have,Industry Standard,Investment,,,,,N
,209,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",Ability to download the documents in MS Word or PDF format,Must Have,Industry Standard,Investment,,,,,N
,210,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",Ability to upload the documents to Document Management System from the system's page,Must Have,Industry Standard,Investment,,,,,Y
,211,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",Ability to send any document to any internal stakeholder through email directly from the system's page,Must Have,Industry Standard,Investment,,,,,N
,212,Assessment ,Transaction Assessment (GLM),"18. Prepare Documents 
(LOI, Cover Letter, Term Sheets, etc.)",Ability to validate the fields to be updated in documents are appropriately updated with the user provided values and prompt the user with the missing field name/s so the document can be updated,Must Have,Industry Standard,Investment,,,,,N
,213,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to collect KYC documents as per Investment & Risk policy guidelines for KYC for the transaction and upload the KYC documents in the Document Management System. The system should provide a page for the user to identify the required KYC documents and the user should be able to upload the same through the CRM & Workflow solution's page.,Must Have,Workshop,Business,,,,,Y
,214,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to send a list of documents along with the document link for KYC verifications,Must Have,ABC_SP_New_Client Screening_Matrix_10.01.23_v 1.3,Business,,,,,N
,215,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to send notification to the Legal & Compliance department once the KYC documents list is submitted,Must Have,Industry Standard,Business,,,,,N
,216,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to download KYC documents from the document list ,Must Have,Workshop,Legal & Compliance,,,,,N
,217,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to perform compliance check based on the compliance documents and compliance criteria defined in the Investment and Risk policy document ,Must Have,Workshop,Legal & Compliance,,,,,N
,218,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to provide KYC review comments for each document type and capture overall comments/rationale on the KYC verification outcome (success/fail). The system should be able to upload the PDF file to the Document Management System.,Must Have,Workshop,Legal & Compliance,,,,,Y
,219,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to identify additional KYC document requirements automatically based on the review comments,Must Have,Workshop,Business,,,,,N
,220,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to send notification to the deal team for additional KYC document requirements,Must Have,Workshop,Legal & Compliance,,,,,N
,221,Assessment,Transaction Assessment (GLM),19. Process KYC (Legal & Compliance),Ability to send email to the client/stakeholder for additional KYC document requirements,Must Have,ABC_SP_New_Client Screening_Matrix_10.01.23_v 1.3,Business,,,,,N
,222,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to submit Green Light Memo through pre-defined workflow for Credit and Investment Management Committee approval,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Investment,,,,,N
,223,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,"Ability to send email notifications to the reviewer group once Green Light Memo is submitted for approval. The system should generate notifications for any state change (approve, reject, etc.) in the Green Light Memo approval cycle. The notification should be sent to all the users from the current user and down the approval chain",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,224,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to review the Green Light Memo by the executive users of the Credit and Investment Management Committee and provide approval. Electronic signature should be provided by each user in the respective placeholder for the signature. The system should provide a page for the user to capture the MoM from the review meeting (based on a pre-defined template) and should be able to upload the MoM in the Document Management System,Must Have,Industry Standard,"Business, Investment, Risk",,,,,Y
,225,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to provide a workflow process visualization/dashboard to show the current approval state and associated details (for multiple reviewers - completed review/pending review),Must Have,Workshop,"Business, Investment, Risk",,,,,N
,226,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to provide voting option during the approval cycle in case a consensus is required between the reviewers as per the defined criteria (Delegation of Authority). The system should be able to capture the voting results and should be able to document that as per predefined template for approval decision.,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,227,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,"Ability to configure the workflow users and groups (including submitters, reviewers and approvers) and workflow process steps as per requirement. The system should support the change of approval cycle automatically based on the approval level as per defined criteria (Delegation of Authority). The system should allow addition of approval stages beyond the approval level defined in the Delegation of Authority. The system should addition of independent advisors in the users/groups and maintain a repository of those names.",Must Have,Workshop,Investment,,,,,N
,228,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to assign a particulate workflow/task to a different user. Ability to define roles and permissions for the staff involved in the approval process,Must Have,Workshop,Investment,,,,,N
,229,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to generate a PDF file for approver comments capturing all comments and rationale provided by the approvers during the approval process of a document,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,230,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,"Ability to add approvers comments categorized as ""Actionable"" or ""Information"" etc. In the case of Actionable, the approver has to set a deadline for the ""Actionable"" comment. Upon approval, the system should generate a separate workflow for the ""Actionable"" comments and send an email notification to the Deal Team to reply to these comments before the deadline stipulated by the Approver.",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,231,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,Ability to generate a counterparty wise report showing all approver comments yet to be responded. The system should also generate a report entailing all approved covenants (Financial & Non-Financial).,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,232,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,"Ability to maintain a detailed history of all actions and changes in the system (users, groups, workflow steps, etc.) for compliance and audit trail",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,233,Assessment ,Transaction Assessment (GLM),20. Submit GLM for CIMC Approval,"Ability to generate a report showing counterparty wise detail of all approved facilities,  pricing, tenor, approved security/collateral against each facility, etc. after approval of the Green Light Memo ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,,Structuring,,,,,,,,,,,
,,Structuring,Transaction Structuring (TAM),,,,,,,,,,
,234,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"Ability to create multi-page Transaction Assessment Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Transaction Assessment Memo template.",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,235,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a cover page with pre-defined layouts, images, text areas,  etc.",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,236,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a transaction overview page with different shapes, tables, maps, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration) and should be able to reuse the transaction overview page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,237,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a strategic and mandate alignment page with pre-defined layouts, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
,238,Structuring,Transaction Structuring (TAM),21. Prepare Transaction Assessment Memo,"- Ability to create a transaction background and timeline page with pre-defined layouts, tables, images, text areas, etc.. The system should be able to reuse the transaction brief and timeline page created for the Green Light Memo",Must Have,ABC_SP_WS4_Transaction_Assessment_Memo_05.10.23 ABC.pptx,Investment,,,,,N
